"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Avg_mode_power","Star Rating Index","Submit_ID","Screensize_inches"
"LINSAR","LS70UHDNF23","Australia",176.537,"LCD (LED)",108.294,6.367689189980086,171894,70
"LINSAR","LS75QLDVTV","Australia",189.333,"LCD",103.19,6.735709382779707,176831,75
"LINSAR","LS75UHDNF","Australia,Fiji,New Zealand",189.306,"LCD (LED)",127.7,6.196865743103114,150972,75
"LINSAR","LS75UHDZEN","Australia,Fiji,New Zealand",189.219,"LCD",108.1,6.090373500678537,149824,74
"LINSAR","LS82UHDNF2","Australia,Fiji,New Zealand",207.217,"LCD",170.6,5.652614374321411,149326,82
"LINSAR","LS85QLDVTV","Australia",214.783,"LCD",141.25,6.418742514569718,176832,85
"LINSAR","LS85UHDNF","Australia",214.783,"LCD",159.1,6.1810066679482025,144762,85
"LINSAR","LS85UHDZEN","Australia,Fiji,New Zealand",214.783,"LCD",159,6.1069319216521025,150263,85
"LINSAR","LS85UHDZEN25S","Australia",214.783,"LCD (LED)",163.7,6.070348697126533,169820,85
"LINSAR","LS86UHDNF23","Australia,Fiji,New Zealand",217.425,"LCD",169.97,6.068349670732032,156317,86
"LINSAR","LS98UHDNF","Australia,Fiji,New Zealand",247.695,"LCD",214.416,6.004257528110983,148774,98
"LINSAR","LSK32WSFW","Australia,Fiji,New Zealand",80.038,"LCD",28.2,6.007730994096279,149623,32
"LINSAR","LSK43WSFW","Australia,Fiji,New Zealand",107.956,"LCD",44.6,6.04803737891574,150642,43
"LINSAR","LSK50WSFW","New Zealand",125.638,"LCD",53.8,6.056850653631297,149482,49
"LINSAR","LSK55WSFW","Australia,Fiji,New Zealand",138.783,"LCD",62.5,6.02167727117258,149418,55
"HUBBL GLASS","LT043A-04-FXTL","Australia",108.048,"LCD (LED)",50.73,5.38515551905164,154089,43
"HUBBL GLASS","LT055A-04-FXTL","Australia",138.711,"LCD (LED)",64.71,6.578108283365271,154094,55
"HUBBL","LT065A-04-FXTL","Australia",163.897,"LCD (LED)",64.71,7.972684747758714,160808,65
"JVC","LT-32N3115A11","Australia,Fiji",80.139,"LCD",31.9,5.532205229661681,148691,32
"JVC","LT-32N3115A11E","Australia",79.994,"LCD (LED)",28.86,5.048057871940883,158538,31
"JVC","LT-32N3115A11N","Australia",80.103,"LCD",29.22,5.890292548310127,157180,32
"JVC","LT-32N3115AM","Australia,Fiji",79.744,"LCD",32.7,5.025863763302918,142898,31
"JVC","LT-32N3135A","Australia",80.039,"LCD (LED)",24.687,5.799685441574415,150155,32
