"Star Rating Index","Screensize_inches"
5.008726279819099,65
5.008726279819099,65
5.008726279819099,65
3.5912491629830012,65
3.5912491629830012,65
3.5912491629830012,65
4.507742024035239,65
4.507742024035239,65
4.507742024035239,65
3.584230492609061,65
3.584230492609061,65
3.584230492609061,65
4.507742024035239,65
4.507742024035239,65
4.507742024035239,65
3.514641825425533,65
3.514641825425533,65
5.443521850734936,65
5.328204093107946,65
5.443521850734936,65
5.328204093107946,65
5.328204093107946,65
9.139122660621185,65
8.789744240270002,65
7.843846548686119,65
5.037686340309588,65
5.808425832669458,65
5.808425832669458,65
7.718609094025336,65
7.718609094025336,65
8.635576994500521,65
8.635576994500521,65
7.972684747758714,65
4.405453871887269,65
4.439276071054277,65
4.405453871887269,65
4.313737886945033,65
4.313737886945033,65
4.405453871887269,65
4.99905316900289,65
4.313737886945033,65
5.50774202403524,65
5.50774202403524,65
5.50774202403524,65
4.507742024035239,65
4.507742024035239,65
4.507742024035239,65
5.443521850734936,65
5.328204093107946,65
4.99905316900289,65
4.99905316900289,65
4.99905316900289,65
4.99905316900289,65
4.99905316900289,65
4.99905316900289,65
5.246162074252658,65
5.246162074252658,65
5.246162074252658,65
5.246162074252658,65
5.246162074252658,65
5.475494068044627,65
4.104182871102088,65
6.825739776103138,65
6.045013280653004,65
5.066927359125772,65
6.825739776103138,65
6.825739776103138,65
6.825739776103138,65
6.825739776103138,65
5.1556252552474255,65
6.825739776103138,65
5.008726279819099,65
5.50774202403524,65
6.045013280653004,65
4.507742024035239,65
4.507742024035239,65
4.507742024035239,65
4.507742024035239,65
3.584230492609061,65
6.01015601007195,70
6.085115800336112,70
6.0098525976602755,70
6.0098525976602755,70
6.0098525976602755,70
1.7806598657620578,74
3.12174886984205,74
3.12174886984205,74
3.12174886984205,74
3.12174886984205,74
5.910030969707462,75
4.064055082166185,55
6.371087818075435,75
5.0929714771961745,75
5.8125085826460925,75
4.063194489783653,75
5.198777204048162,75
5.5074170314122695,75
4.505778786057624,75
7.574747009767889,75
6.008562665563702,75
6.008562665563702,75
7.03682007493093,75
7.574747009767889,75
7.574747009767889,75
5.777565558686364,75
5.482906012508416,75
3.1531256705532553,75
3.7480767191677016,75
5.170195815718926,75
6.382195704190277,75
6.451213523728212,75
4.527301161061217,75
7.033755235828371,75
7.033755235828371,75
5.5390672901039455,75
4.644281538618003,75
5.054540009525431,75
5.054540009525431,75
4.644281538618003,75
4.644281538618003,75
6.263015743468501,75
6.119827201301709,75
6.119827201301709,75
6.5535334962668585,75
6.119827201301709,75
6.119827201301709,75
6.119827201301709,75
6.283698989455167,75
6.382195704190277,75
5.899836034595753,75
3.8874113908802133,75
3.8874113908802133,75
7.046531474899381,75
3.673105632499593,75
4.617398287285496,75
7.130024630835645,75
4.517660502557614,75
4.517660502557614,75
5.244898572897651,75
5.244898572897651,75
5.590102405040369,75
5.590102405040369,75
4.967763428275685,75
4.967763428275685,75
6.011546682493634,75
6.011546682493634,75
6.011546682493634,75
6.104141301259303,75
6.104141301259303,75
6.104141301259303,75
7.013838382936172,75
7.013838382936172,75
7.013838382936172,75
6.011546682493634,75
6.011546682493634,75
6.011546682493634,75
5.170195815718926,75
6.119827201301709,75
3.7720858059026012,75
5.392921074375575,75
5.392921074375575,75
5.054540009525431,75
5.054540009525431,75
6.054540009525432,75
6.054540009525432,75
6.263015743468501,75
7.033755235828371,75
5.032373005790869,75
5.032373005790869,75
5.981072460590566,75
6.263015743468501,75
7.033755235828371,75
5.981072460590566,75
6.263015743468501,75
7.033755235828371,75
5.5390672901039455,75
5.189895201395687,75
7.033755235828371,75
7.033755235828371,75
7.068450274551286,75
5.481664966724477,75
5.981072460590566,75
5.981072460590566,75
7.068450274551286,75
4.798574289378539,75
5.25139078204,75
5.481664966724477,75
5.481664966724477,75
3.7720858059026012,75
3.7720858059026012,75
3.7720858059026012,75
3.7720858059026012,75
3.7720858059026012,75
3.7720858059026012,75
4.873081208156259,75
3.536097167305912,75
6.119827201301709,75
5.981072460590566,75
5.981072460590566,75
5.189895201395687,75
5.481664966724477,75
5.481664966724477,75
5.25139078204,75
4.873081208156259,75
3.536097167305912,75
6.011546682493634,75
6.011546682493634,75
6.011546682493634,75
6.011546682493634,75
6.011546682493634,75
4.701749717987907,75
4.064055082166185,55
4.533886643683078,75
5.0992865182334395,75
5.0992865182334395,75
5.0992865182334395,75
5.509240824730889,75
5.509240824730889,75
5.509240824730889,75
5.575266624832269,75
5.575266624832269,75
5.575266624832269,75
5.517441046813487,75
5.517441046813487,75
5.517441046813487,75
5.0992865182334395,75
5.0992865182334395,75
5.0992865182334395,75
5.0060513781658935,75
5.0060513781658935,75
5.0060513781658935,75
4.674465492961469,75
4.674465492961469,75
4.674465492961469,75
5.254455621142558,75
5.254455621142558,75
5.254455621142558,75
5.727480430499471,75
5.727480430499471,75
5.727480430499471,75
4.8125787386432854,75
4.8125787386432854,75
4.8125787386432854,75
4.277735778003507,75
4.5404818179679225,75
4.5404818179679225,75
4.5404818179679225,75
3.0089292588902365,75
5.501055580231206,75
5.501055580231206,75
5.501055580231206,75
5.890899999495833,75
5.890899999495833,75
5.890899999495833,75
5.481664966724477,75
5.5722017857297095,75
5.5722017857297095,75
8.873914883187542,75
4.894472275585927,75
4.95201939210664,75
5.054540009525431,75
5.054540009525431,75
5.054540009525431,75
5.054540009525431,75
5.054540009525431,75
5.676165899021606,75
5.676165899021606,75
5.676165899021606,75
5.736090270069463,75
5.736090270069463,75
5.736090270069463,75
5.785034758827632,75
5.054540009525431,75
5.054540009525431,75
5.054540009525431,75
5.054540009525431,75
5.054540009525431,75
5.054540009525431,75
5.054540009525431,75
5.054540009525431,75
5.054540009525431,75
5.054540009525431,75
6.263015743468501,75
4.283964298975181,75
4.283964298975181,75
4.283964298975181,75
6.801277579264537,75
3.516273919935741,75
6.801277579264537,75
6.801277579264537,75
6.801277579264537,75
6.801277579264537,75
6.801277579264537,75
5.2855227827737865,75
6.011546682493634,75
6.384019497508897,75
5.501055580231206,75
5.501055580231206,75
5.501055580231206,75
4.0089292588902365,75
4.514159157162802,75
4.265319907748774,78
6.1810066679482025,85
7.3426024192183235,85
5.074722948442811,85
6.530385088299385,85
5.074722948442811,85
5.074722948442811,85
5.0630677530103645,85
6.005242174991583,85
6.18848193259678,85
6.005242174991583,85
6.005242174991583,85
4.673133217698123,85
5.181006667948202,85
5.753881710749156,85
4.169072119968664,85
6.526273355115518,85
4.510726171643211,85
6.426625401593877,85
6.426625401593877,85
6.286812394800189,85
6.426625401593877,85
6.426625401593877,85
4.748452975842131,85
4.748452975842131,85
6.498202399772786,85
6.248737228482154,85
5.515874271138391,85
5.515874271138391,85
5.515874271138391,85
5.503015094115111,85
5.503015094115111,85
5.503015094115111,85
7.007037975503581,85
7.007037975503581,85
7.007037975503581,85
5.580729529214643,85
5.503015094115111,85
5.503015094115111,85
5.503015094115111,85
5.408125730182616,86
4.112224590866406,85
6.3406670185759655,85
6.3406670185759655,85
5.028282946146018,85
5.028282946146018,85
5.686490664599829,85
4.759317029933,85
4.112224590866406,85
4.112224590866406,85
4.112224590866406,85
4.112224590866406,85
4.112224590866406,85
4.112224590866406,85
5.005242174991583,85
5.005242174991583,85
5.005242174991583,85
6.048541256927103,85
6.048541256927103,85
6.048541256927103,85
6.012429698774048,85
6.012429698774048,85
6.012429698774048,85
4.5261882460425475,85
4.5261882460425475,85
4.5261882460425475,85
4.572897158824071,85
4.572897158824071,85
4.572897158824071,85
4.732206117741302,85
4.732206117741302,85
4.732206117741302,85
5.1275497304968605,85
5.1275497304968605,85
5.1275497304968605,85
5.5676831732240135,85
5.5676831732240135,85
5.5676831732240135,85
3.5510390682319684,85
5.005242174991583,85
5.005242174991583,85
5.005242174991583,85
5.0225116380493064,85
5.0225116380493064,85
5.0225116380493064,85
5.639912753358164,85
5.639912753358164,85
5.639912753358164,85
5.503015094115111,85
5.503015094115111,85
5.503015094115111,85
5.005242174991583,85
5.005242174991583,85
5.005242174991583,85
3.9823192599593313,85
3.184354044812373,85
1.6611986697185854,85
4.005242174991582,85
5.5676831732240135,85
6.18848193259678,85
5.713325595788098,85
5.713325595788098,85
5.713325595788098,85
4.032905349977934,85
1.4405055371523754,86
1.4405055371523754,86
1.4405055371523754,86
1.4405055371523754,86
6.8013086601785435,86
6.8013086601785435,86
6.068806772819887,86
4.504860044520296,86
4.395864655180622,86
5.134275172185824,86
5.134275172185824,86
4.395793552319711,86
4.395864655180622,86
6.5405144052148465,86
3.320996248832184,86
4.1666614702072025,86
5.69325920370442,86
5.69325920370442,86
7.249808472101204,86
5.438925989689485,86
6.556278725607263,86
7.249808472101204,86
5.438925989689485,86
6.556278725607263,86
7.249808472101204,86
5.263161496732867,86
7.050601449047956,86
7.050601449047956,86
7.077707312225719,86
5.263161496732867,86
6.50109783348272,86
6.50109783348272,86
7.077707312225719,86
5.765807692130701,86
5.263090393871955,86
5.263161496732867,86
3.180715174482618,86
5.438925989689485,86
5.438925989689485,86
5.263161496732867,86
5.263161496732867,86
5.263161496732867,86
5.765807692130701,86
3.180715174482618,86
4.903471097775646,86
6.532617627633684,86
6.532617627633684,86
6.532617627633684,86
4.395864655180622,86
4.395864655180622,86
4.395864655180622,86
4.395864655180622,86
4.395864655180622,86
4.395864655180622,86
4.395864655180622,86
4.395864655180622,86
4.395864655180622,86
5.134275172185824,86
5.134275172185824,86
5.134275172185824,86
5.134275172185824,86
5.134275172185824,86
6.128303945010803,97
6.128303945010803,97
6.305413065706986,97
6.028589618498678,97
5.555877066630214,97
5.650540933575439,97
5.650540933575439,97
5.840830614744471,97
4.156526126652442,98
6.726714214266114,97
5.773047517354137,97
5.135764682003166,98
5.135764682003166,98
5.135764682003166,98
5.135764682003166,98
5.007525854584564,98
5.007525854584564,98
5.007525854584564,98
3.5158736280957794,98
3.5158736280957794,98
3.5158736280957794,98
3.5158736280957794,98
3.5158736280957794,98
3.5158736280957794,98
3.78340918698233,97
2.519151153349606,97
5.663599947520351,98
5.515246011667352,100
6.700875786921499,100
6.700875786921499,100
5.313387441690587,100
5.515246011667352,100
5.515246011667352,100
5.515246011667352,100
5.786050637896593,100
5.786050637896593,100
5.786050637896593,100
5.529345929280184,100
5.529345929280184,100
6.079597190523867,100
6.079597190523867,100
5.363006087783993,100
5.363006087783993,100
5.363006087783993,100
5.510555880294488,100
5.510555880294488,100
5.510555880294488,100
5.515246011667352,100
5.515246011667352,100
5.515246011667352,100
5.841222707207771,100
5.841222707207771,100
5.841222707207771,100
6.005696950959268,100
6.005696950959268,100
6.005696950959268,100
5.185148614271984,100
5.185148614271984,100
5.185148614271984,100
6.010935315223428,100
6.010935315223428,100
6.010935315223428,100
5.056239818863284,100
5.056239818863284,100
5.056239818863284,100
5.005696950959268,100
6.106984135175932,114
3.2870404396926785,114
3.2870404396926785,114
3.2870404396926785,114
3.2870404396926785,114
3.2870404396926785,114
3.2870404396926785,114
3.2870404396926785,114
3.2870404396926785,114
3.2870404396926785,114
3.2870404396926785,114
3.2870404396926785,114
2.163316987564067,114
5.114499425187755,116
5.114499425187755,116
5.114499425187755,116
6.000656503862102,116
6.000656503862102,116
6.000656503862102,116
6.571011776968867,24
6.459917408091649,40
6.084009427711043,40
6.1612671006942135,49
6.320494529076397,65
6.571011776968867,24
6.571011776968867,24
6.749526906773145,32
6.182698305345105,32
6.047894906355869,39
6.053647575110812,40
6.04961468920546,43
6.1612671006942135,49
6.0624515145983064,49
6.02167727117258,55
6.0693688847202,65
6.681981903222721,65
6.090373500678537,74
6.147318344386143,75
6.1810066679482025,85
6.293361671010194,55
6.45268452993256,55
5.1714794128570825,64
6.651375912212433,24
6.143886819769821,24
6.138546025859608,32
6.698258847494166,32
6.496937030672768,24
6.014060320526477,24
6.143886819769821,24
6.014805925255865,24
6.182698305345105,32
6.183721090805194,32
6.182698305345105,32
6.182698305345105,32
6.182698305345105,32
6.11243449698781,39
6.11243449698781,39
6.112434496987815,39
6.055891551844101,40
6.110919760198513,40
5.1492487763669255,40
5.1492487763669255,40
5.1492487763669255,40
6.2175519584591425,41
6.04961468920546,43
6.148719852583788,43
6.04961468920546,43
6.04961468920546,43
6.1024470408434714,43
6.1024470408434714,43
6.708438262575533,50
6.030353956843012,50
6.0624515145983064,49
6.0624515145983064,49
6.1612671006942135,49
6.022792670661913,49
6.1612671006942135,49
6.488264199278357,50
6.02167727117258,55
6.02167727117258,55
6.293361671010194,55
6.033938115953562,54
6.033938115953562,54
6.293361671010194,55
6.293361671010194,55
6.059931684115753,57
6.3902899068173715,60
6.414531262205091,60
6.15677413639015,65
6.15677413639015,65
6.193172893898268,65
6.259273257201325,70
6.114926249682608,70
6.03164379048884,70
6.367801412715387,70
6.367948428610225,70
